feature,importance
having_path,1044.244140625
number_of_slash_in_url,776.4141235351562
path_length,195.13316345214844
suspicious_tld,62.90959548950195
having_dot_in_subdomain,32.24535369873047
number_of_subdomains,24.626657485961914
number_of_digits_in_url,14.984740257263184
number_of_digits_in_domain,7.0246195793151855
average_subdomain_length,6.144090175628662
domain_length,5.464344501495361
number_of_dots_in_domain,5.246808052062988
url_length,4.951059341430664
having_digits_in_domain,4.765716075897217
having_repeated_digits_in_domain,4.158743381500244
having_repeated_digits_in_url,4.043593406677246
having_digits_in_subdomain,3.4399757385253906
average_number_of_hyphens_in_subdomain,3.298578977584839
has_suspicious_word,2.573859691619873
having_hyphen_in_subdomain,2.017760753631592
number_of_dots_in_url,1.9623135328292847
number_of_hyphens_in_url,1.8805367946624756
number_of_digits_in_subdomain,1.3117049932479858
entropy_of_domain,1.1076529026031494
having_special_characters_in_domain,0.9510872960090637
number_of_hyphens_in_domain,0.8967155814170837
entropy_of_url,0.8789305090904236
uses_shortener,0.4896828234195709
number_of_special_char_in_url,0.0
number_of_dollar_in_url,0.0
number_of_at_in_url,0.0
number_of_equal_in_url,0.0
number_of_questionmark_in_url,0.0
number_of_underline_in_url,0.0
number_of_percent_in_url,0.0
number_of_exclamation_in_url,0.0
number_of_special_characters_in_domain,0.0
average_number_of_dots_in_subdomain,0.0
number_of_hashtag_in_url,0.0
having_special_characters_in_subdomain,0.0
number_of_special_characters_in_subdomain,0.0
having_repeated_digits_in_subdomain,0.0
having_anchor,0.0
having_query,0.0
having_fragment,0.0
